,householdID,est_inc_USD,est_netw_USD,hhold_field,hhold_oldest,hhold_pax,hhold_youngest,homeState,hhold_car,stream_subs,primary
53,54,133695.0,518933.0,Services,48,3,16,New York,Pickup,4,consume
54,55,101269.0,464513.0,Tech,51,5,12,New Hampshire,SUV,3,consume
55,56,82703.0,532263.0,Govt,45,5,18,Maine,LuxurySedan,6,consume
56,57,81673.0,547402.0,Govt,44,2,14,New York,SUV,0,consume
57,58,97106.0,487449.0,Finance,45,6,11,Maine,LuxurySedan,5,entertain
58,59,84611.0,463270.0,Govt,42,3,11,New Hampshire,SUV,5,entertain
59,60,94042.0,426452.0,Finance,51,5,13,Maine,SUV,5,consume
60,61,96418.0,469808.0,Finance,50,4,15,Maine,LuxurySedan,4,consume
61,62,78423.0,502044.0,Govt,53,4,17,Massachusetts,Sedan,4,entertain
62,63,112527.0,504090.0,Govt,47,3,15,Maine,Sedan,1,entertain
63,64,66379.0,443637.0,Govt,44,3,12,Maine,Compact/Hybrid,4,consume
64,65,65916.0,455602.0,Services,55,4,12,Maine,SUV,5,entertain
65,66,118845.0,559001.0,Services,42,4,14,Maine,LuxurySedan,3,entertain
66,67,101974.0,459647.0,Finance,43,3,13,Ontario,SUV,5,consume
67,68,55806.0,372869.0,Tech,46,9,11,Maine,SUV,3,entertain
68,69,149458.0,541870.0,Finance,40,4,14,Maine,SUV,4,entertain
69,70,127189.0,510098.0,Tech,41,4,10,Maine,SUV,4,entertain
70,71,96131.0,481217.0,Govt,42,4,12,Massachusetts,SUV,4,consume
71,72,72124.0,455699.0,Govt,48,2,10,Maine,SUV,4,consume
72,73,91463.0,377468.0,Services,43,4,11,Can_Other,Sedan,4,entertain
73,74,89804.0,474089.0,Education,51,5,16,Maine,LuxurySedan,4,entertain
74,75,78322.0,387182.0,Education,45,3,13,Maine,Sedan,5,entertain
75,76,92779.0,529109.0,Govt,51,2,14,Maine,LuxurySedan,5,entertain
76,77,84263.0,472499.0,Services,45,2,14,Maine,,3,entertain
77,78,156755.0,498311.0,Manufacturing,53,3,15,Connecticut,SUV,5,entertain
78,79,72658.0,367859.0,Tech,38,5,9,Maine,Sedan,3,entertain
79,80,66160.0,384884.0,Govt,43,4,13,Maine,Compact/Hybrid,4,consume
80,81,55168.0,438961.0,Govt,43,4,8,Maine,Pickup,7,consume
81,82,82303.0,477255.0,Education,47,4,17,Maine,Sedan,3,consume
82,83,93346.0,398766.0,Other,42,5,14,New York,Sedan,2,consume
83,84,109696.0,508605.0,Education,41,6,17,Maine,SUV,7,entertain
84,85,91104.0,424315.0,Finance,47,6,14,New York,SUV,6,consume
85,86,92039.0,502405.0,Services,42,6,20,Maine,Compact/Hybrid,4,entertain
86,87,68421.0,463811.0,Govt,50,6,16,Maine,SUV,4,entertain
87,88,122418.0,570714.0,Services,49,6,5,Quebec,Sedan,4,entertain
88,89,73614.0,443463.0,Govt,40,3,6,Maine,LuxurySedan,1,entertain
89,90,134003.0,502380.0,Tech,52,5,19,Maine,Compact/Hybrid,7,consume
90,91,91065.0,422388.0,Tech,46,6,9,Maine,SUV,3,consume
91,92,86991.0,545171.0,Services,42,5,16,Maine,LuxurySedan,3,entertain
92,93,113350.0,480284.0,Finance,48,1,48,Quebec,Sedan,7,entertain
93,94,103258.0,422719.0,Finance,50,2,16,Maine,SUV,5,entertain
94,95,111642.0,475335.0,Tech,42,5,12,Ontario,Sedan,3,entertain
95,96,81538.0,384242.0,Services,37,5,8,Maine,LuxurySedan,3,entertain
96,97,71716.0,485721.0,Govt,53,1,53,Maine,LuxurySedan,3,entertain
97,98,34629.0,325313.0,Govt,45,2,12,Maine,Compact/Hybrid,5,entertain
98,99,113569.0,569842.0,Services,29,4,15,New Hampshire,SUV,6,consume
99,100,161550.0,548652.0,Finance,40,9,12,Maine,LuxurySedan,2,consume
100,101,44527.0,287126.0,Education,39,3,14,Maine,SUV,5,entertain
101,102,112054.0,499368.0,Finance,44,4,8,Connecticut,LuxurySedan,5,consume
102,103,99683.0,461854.0,Finance,44,6,15,Maine,Compact/Hybrid,3,consume
103,104,115289.0,457325.0,Finance,49,5,14,Maine,Sedan,2,entertain
104,105,99885.0,509685.0,Education,48,3,16,Maine,Sedan,3,entertain
105,106,61018.0,388296.0,Govt,42,6,15,Maine,,1,consume
106,107,62945.0,392840.0,Govt,51,1,51,Maine,SUV,3,consume
107,108,97616.0,483755.0,Services,51,2,13,Maine,Compact/Hybrid,6,entertain
108,109,73039.0,506639.0,Govt,43,1,43,Maine,Pickup,5,consume
109,110,117675.0,548675.0,Govt,46,5,16,New York,Sedan,7,entertain
110,111,82506.0,428098.0,Education,34,7,16,Maine,LuxurySedan,6,entertain
111,112,89066.0,348174.0,Tech,49,5,12,New Hampshire,SUV,6,entertain
112,113,110962.0,566087.0,Education,40,5,18,Quebec,SUV,3,entertain
113,114,95714.0,428530.0,Tech,40,5,10,Maine,Sedan,7,entertain
114,115,67332.0,562370.0,Education,42,5,17,Massachusetts,SUV,2,entertain
115,116,25904.0,238609.0,Education,49,4,16,New Hampshire,LuxurySedan,6,entertain
116,117,146346.0,608079.0,Manufacturing,44,7,15,Maine,LuxurySedan,4,consume
117,118,94769.0,517142.0,Govt,53,2,9,Maine,Pickup,4,consume
118,119,73011.0,418525.0,Services,44,4,15,Quebec,SUV,5,entertain
119,120,78714.0,428852.0,Tech,43,6,15,Vermont,SUV,6,consume
120,121,106900.0,455702.0,Tech,41,6,11,Maine,LuxurySedan,7,entertain
121,122,57541.0,391229.0,Tech,55,3,6,Maine,SUV,5,entertain
122,123,94485.0,491509.0,Services,45,6,15,Maine,LuxurySedan,3,entertain
123,124,157624.0,619118.0,Tech,58,3,14,Maine,SUV,3,entertain
124,125,101420.0,423598.0,Finance,46,4,14,New Hampshire,LuxurySedan,4,entertain
125,126,89440.0,292354.0,Finance,47,5,20,Maine,Sedan,4,consume
126,127,139735.0,549648.0,Finance,46,4,22,New Hampshire,Sedan,7,consume
127,128,67734.0,452695.0,Govt,53,4,18,Maine,Sedan,3,entertain
128,129,118451.0,574797.0,Govt,56,6,18,Maine,Compact/Hybrid,4,entertain
129,130,102231.0,423249.0,Finance,47,5,13,Maine,SUV,4,entertain
130,131,120295.0,416105.0,Finance,47,5,14,Maine,Sedan,2,consume
131,132,98990.0,514771.0,Services,40,9,9,Massachusetts,LuxurySedan,3,entertain
132,133,69874.0,473669.0,Govt,45,5,9,Vermont,Compact/Hybrid,5,entertain
133,134,116764.0,472436.0,Manufacturing,56,10,10,Maine,SUV,3,entertain
134,135,86218.0,445154.0,Services,44,4,12,Maine,LuxurySedan,4,entertain
135,136,127371.0,503601.0,Services,45,4,12,Rhode Island,Sedan,2,entertain
136,137,165824.0,608389.0,Tech,48,2,8,Ontario,Pickup,4,consume
137,138,119339.0,492579.0,Tech,48,5,15,Maine,SUV,5,entertain
138,139,87571.0,492334.0,Services,41,5,11,Maine,LuxurySedan,6,entertain
139,140,123564.0,499870.0,Finance,45,2,15,Maine,LuxurySedan,5,consume
140,141,75318.0,359121.0,Finance,47,6,16,Maine,Compact/Hybrid,2,consume
141,142,87269.0,407361.0,Services,49,4,11,New Hampshire,Sedan,2,entertain
142,143,93323.0,444002.0,Manufacturing,47,4,11,Ontario,LuxurySedan,3,entertain
143,144,70835.0,476546.0,Govt,39,5,16,Massachusetts,LuxurySedan,5,entertain
144,145,77066.0,448743.0,Govt,47,7,10,New Hampshire,Sedan,2,consume
145,146,56851.0,352229.0,Tech,47,6,12,Quebec,LuxurySedan,4,entertain
146,147,107539.0,449669.0,Tech,41,5,12,Quebec,Sedan,7,entertain
147,148,81977.0,455440.0,Education,43,7,12,New Hampshire,SUV,4,entertain
148,149,80502.0,483216.0,Education,51,7,11,Maine,LuxurySedan,2,entertain
149,150,44139.0,400711.0,Education,47,4,16,New Hampshire,SUV,2,entertain
150,151,102194.0,444295.0,Finance,49,4,16,Massachusetts,SUV,4,consume
151,152,88549.0,386969.0,Education,49,2,15,Maine,SUV,2,entertain
152,153,98038.0,423891.0,Finance,44,2,6,Massachusetts,LuxurySedan,1,entertain
153,154,118177.0,581616.0,Services,50,4,16,Quebec,SUV,3,entertain
154,155,87771.0,491010.0,Govt,47,3,13,Maine,SUV,7,entertain
155,156,75281.0,509920.0,Govt,54,4,9,Maine,Compact/Hybrid,2,consume
156,157,70700.0,485746.0,Govt,41,1,41,Maine,LuxurySedan,3,consume
157,158,88221.0,529474.0,Govt,44,3,13,Maine,LuxurySedan,1,entertain
158,159,135369.0,410071.0,Finance,42,6,11,Quebec,Sedan,5,consume
159,160,144306.0,450397.0,Tech,48,3,15,Vermont,SUV,4,consume
160,161,89812.0,506649.0,Education,48,8,18,Maine,Pickup,4,entertain
161,162,62391.0,392696.0,Manufacturing,52,6,14,New Hampshire,SUV,4,entertain
162,163,95523.0,344066.0,Finance,47,4,4,Maine,SUV,5,consume
163,164,55615.0,431195.0,Govt,42,4,13,Maine,SUV,2,entertain
164,165,76951.0,447922.0,Education,43,4,13,Massachusetts,Sedan,4,consume
165,166,83523.0,527487.0,Services,41,1,41,Vermont,SUV,5,entertain
166,167,104400.0,583775.0,Finance,38,5,16,Maine,Sedan,5,entertain
167,168,143771.0,465772.0,Tech,49,4,9,Maine,SUV,4,entertain
168,169,46225.0,400384.0,Govt,40,5,12,Vermont,Sedan,7,entertain
169,170,74628.0,383959.0,Govt,38,8,11,New York,SUV,4,consume
170,171,62667.0,489661.0,Govt,45,3,16,New Hampshire,Pickup,1,consume
171,172,140082.0,472117.0,Finance,34,1,34,Ontario,LuxurySedan,3,consume
172,173,75951.0,442529.0,Govt,44,4,14,Ontario,,4,consume
173,174,119017.0,535128.0,Services,34,6,11,Massachusetts,LuxurySedan,3,entertain
174,175,75900.0,411676.0,Tech,48,5,7,New Hampshire,SUV,3,entertain
175,176,81435.0,471672.0,Education,50,7,12,Maine,Sedan,4,entertain
176,177,60820.0,470875.0,Education,49,6,15,New York,LuxurySedan,3,consume
177,178,57845.0,438892.0,Govt,44,5,10,Maine,LuxurySedan,3,entertain
178,179,124552.0,497211.0,Finance,55,4,7,Rhode Island,Compact/Hybrid,1,entertain
179,180,113679.0,427554.0,Finance,48,5,17,Rhode Island,SUV,5,consume
180,181,113078.0,508484.0,Finance,40,5,11,New Hampshire,Sedan,1,consume
181,182,71109.0,513526.0,Govt,38,2,14,US_Other,LuxurySedan,5,consume
182,183,40687.0,403023.0,Govt,42,4,16,Vermont,SUV,5,entertain
183,184,73485.0,513947.0,Govt,45,5,17,Quebec,LuxurySedan,3,entertain
184,185,84863.0,351394.0,Other,36,4,7,New Hampshire,Sedan,5,entertain
185,186,50236.0,464563.0,Govt,43,5,10,Maine,Sedan,4,consume
186,187,92238.0,492194.0,Manufacturing,42,5,16,Maine,Sedan,4,entertain
187,188,107499.0,617534.0,Services,52,3,12,Ontario,SUV,2,entertain
188,189,127101.0,466535.0,Finance,48,4,10,Quebec,SUV,4,consume
189,190,158044.0,556237.0,Manufacturing,52,3,15,Maine,LuxurySedan,5,entertain
190,191,155572.0,458737.0,Finance,50,2,16,Ontario,SUV,2,consume
191,192,85760.0,545159.0,Govt,48,2,13,Vermont,Pickup,5,consume
192,193,68934.0,533927.0,Govt,41,3,17,New York,Sedan,3,consume
193,194,112856.0,445065.0,Finance,45,3,12,Maine,SUV,3,entertain
194,195,73105.0,438142.0,Govt,40,5,13,Maine,SUV,0,entertain
195,196,105348.0,446489.0,Tech,46,3,14,Vermont,Pickup,4,consume
196,197,87433.0,428836.0,Other,49,3,14,Maine,LuxurySedan,4,entertain
197,198,72478.0,562909.0,Govt,48,2,18,Can_Other,SUV,8,entertain
198,199,96584.0,569330.0,Govt,52,4,10,Vermont,SUV,5,entertain
199,200,67712.0,323504.0,Services,61,4,16,Quebec,SUV,7,entertain
200,201,111947.0,538825.0,Finance,39,4,8,Quebec,LuxurySedan,0,consume
201,202,41997.0,395187.0,Services,44,6,14,Maine,Pickup,5,entertain
202,203,62742.0,355212.0,Finance,39,3,10,Maine,Pickup,3,consume
203,204,71113.0,381212.0,Services,46,5,15,Maine,SUV,5,entertain
204,205,76942.0,315043.0,Finance,56,1,56,New York,Pickup,6,consume
205,206,94205.0,524052.0,Govt,44,2,19,Vermont,LuxurySedan,5,entertain
206,207,122104.0,550795.0,Services,51,4,12,Vermont,SUV,1,entertain
207,208,78333.0,478857.0,Education,42,2,19,Massachusetts,SUV,7,entertain
208,209,79366.0,562688.0,Govt,41,5,14,Maine,Sedan,8,consume
209,210,93794.0,406081.0,Services,42,4,14,Rhode Island,SUV,1,consume
210,211,66045.0,422165.0,Education,46,4,16,New York,Compact/Hybrid,6,consume
211,212,78759.0,562865.0,Govt,50,3,11,Maine,LuxurySedan,6,entertain
212,213,76555.0,430795.0,Govt,45,4,13,Maine,LuxurySedan,4,consume
213,214,79336.0,423228.0,Govt,48,4,5,Maine,LuxurySedan,4,entertain
214,215,143444.0,519465.0,Tech,52,1,52,Rhode Island,LuxurySedan,4,entertain
215,216,120660.0,517060.0,Tech,38,6,8,Maine,Sedan,5,entertain
216,217,78496.0,383955.0,Finance,44,6,16,Ontario,SUV,4,entertain
217,218,87700.0,521976.0,Services,43,4,16,New Hampshire,SUV,4,consume
218,219,89820.0,511410.0,Other,45,7,13,Maine,Sedan,5,consume
219,220,137346.0,523083.0,Finance,36,2,15,Rhode Island,SUV,5,consume
220,221,75278.0,529290.0,Govt,49,6,10,Rhode Island,SUV,0,entertain
221,222,100150.0,428751.0,Tech,51,4,15,Maine,Sedan,3,consume
222,223,102073.0,457291.0,Govt,42,7,4,Maine,LuxurySedan,4,entertain
223,224,84303.0,404998.0,Tech,43,8,10,Maine,LuxurySedan,3,entertain
224,225,81964.0,550720.0,Education,35,5,15,Maine,Pickup,7,entertain
225,226,63832.0,434315.0,Services,41,4,17,Maine,SUV,5,entertain
226,227,65895.0,511915.0,Govt,47,3,12,Maine,LuxurySedan,4,consume
227,228,131670.0,578628.0,Finance,47,2,12,Vermont,SUV,3,consume
228,229,76278.0,463838.0,Other,47,3,12,New Hampshire,SUV,3,consume
229,230,63367.0,495355.0,Govt,40,3,18,Quebec,LuxurySedan,5,entertain
230,231,78599.0,479746.0,Education,47,1,47,Massachusetts,Sedan,5,entertain
231,232,58780.0,481903.0,Education,42,5,17,Maine,LuxurySedan,3,entertain
232,233,49494.0,486911.0,Govt,41,5,13,Maine,LuxurySedan,3,entertain
233,234,152190.0,615209.0,Finance,48,6,13,Maine,Compact/Hybrid,4,entertain
234,235,81090.0,535779.0,Govt,56,6,6,Maine,SUV,3,entertain
235,236,132680.0,495855.0,Tech,48,5,9,Maine,Compact/Hybrid,7,entertain
236,237,79117.0,421768.0,Govt,36,4,17,Massachusetts,Pickup,4,entertain
237,238,63781.0,399115.0,Education,46,5,14,New York,LuxurySedan,3,entertain
238,239,48395.0,431242.0,Education,39,7,13,New Hampshire,LuxurySedan,5,entertain
239,240,121064.0,619812.0,Govt,45,6,11,New Hampshire,LuxurySedan,4,entertain
240,241,108463.0,450330.0,Finance,43,3,7,Maine,LuxurySedan,4,consume
241,242,50774.0,458109.0,Education,54,3,14,New Hampshire,Pickup,4,consume
242,243,86884.0,361269.0,Finance,51,6,13,Maine,SUV,3,entertain
243,244,59508.0,444416.0,Govt,55,7,13,New Hampshire,SUV,5,consume
244,245,124365.0,561860.0,Education,44,6,19,Quebec,Sedan,3,consume
245,246,74472.0,478167.0,Education,47,5,16,Maine,SUV,5,entertain
246,247,126001.0,514508.0,Finance,50,7,9,Maine,SUV,6,entertain
247,248,115917.0,501397.0,Education,49,4,12,Rhode Island,Pickup,4,entertain
248,249,108766.0,532615.0,Finance,47,4,16,Maine,SUV,4,entertain
249,250,88685.0,567347.0,Services,47,4,16,Massachusetts,Sedan,7,entertain
250,251,115111.0,476014.0,Tech,54,7,8,Maine,LuxurySedan,4,entertain
251,252,134679.0,453629.0,Tech,43,3,13,Maine,SUV,4,consume
252,253,62464.0,426801.0,Govt,57,6,13,US_Other,SUV,5,entertain
253,254,87813.0,532680.0,Govt,44,5,11,Rhode Island,,7,entertain
254,255,77496.0,407252.0,Finance,42,4,9,New York,LuxurySedan,3,entertain
255,256,74130.0,350935.0,Tech,51,4,9,Maine,Sedan,3,consume
256,257,84752.0,444604.0,Finance,34,8,12,Ontario,Sedan,5,entertain
257,258,95119.0,371212.0,Finance,47,4,7,New York,SUV,4,entertain
258,259,30578.0,353201.0,Govt,47,7,13,Maine,Sedan,5,entertain
259,260,61408.0,421721.0,Govt,44,2,17,Vermont,SUV,1,consume
260,261,111880.0,469622.0,Finance,41,3,18,Maine,Compact/Hybrid,3,consume
261,262,120074.0,460048.0,Finance,47,5,9,Maine,SUV,4,consume
262,263,83855.0,527702.0,Services,43,6,14,Maine,Pickup,6,entertain
263,264,112372.0,402132.0,Finance,48,1,48,Maine,SUV,3,consume
264,265,102194.0,490218.0,Other,40,8,9,Maine,LuxurySedan,3,entertain
265,266,90112.0,483332.0,Govt,45,5,18,New Hampshire,LuxurySedan,3,entertain
266,267,86618.0,360230.0,Tech,43,4,18,Connecticut,SUV,8,consume
267,268,113452.0,494747.0,Services,37,4,12,Maine,LuxurySedan,5,entertain
268,269,74847.0,425690.0,Services,52,8,12,Maine,Pickup,3,entertain
269,270,82816.0,343052.0,Finance,44,2,17,Maine,SUV,3,entertain
270,271,104036.0,470880.0,Other,45,5,13,Maine,Sedan,4,entertain
271,272,83912.0,494031.0,Govt,43,4,16,Ontario,SUV,5,entertain
272,273,78043.0,446837.0,Education,40,5,25,New Hampshire,Pickup,3,consume
273,274,154523.0,603697.0,Finance,51,5,13,Maine,LuxurySedan,5,consume
274,275,124829.0,454132.0,Finance,46,7,17,Massachusetts,Pickup,1,consume
275,276,55085.0,414529.0,Services,46,2,15,Maine,LuxurySedan,3,consume
276,277,83850.0,466383.0,Govt,52,7,14,Connecticut,Pickup,3,entertain
277,278,109326.0,538367.0,Govt,53,5,19,Maine,Sedan,4,consume
278,279,87519.0,514361.0,Govt,39,5,8,Ontario,Sedan,5,consume
279,280,114072.0,503980.0,Finance,38,2,16,Maine,LuxurySedan,5,consume
280,281,102203.0,520949.0,Education,41,7,15,New Hampshire,LuxurySedan,2,entertain
281,282,155156.0,545242.0,Tech,46,2,13,Massachusetts,SUV,3,consume
282,283,72951.0,412476.0,Tech,50,6,13,Quebec,SUV,3,consume
283,284,106056.0,521244.0,Govt,46,1,46,Maine,SUV,3,consume
284,285,125339.0,532496.0,Finance,53,2,19,Connecticut,LuxurySedan,4,consume
285,286,83104.0,568217.0,Govt,37,5,16,Maine,Compact/Hybrid,5,consume
286,287,50243.0,379033.0,Education,52,4,14,Maine,SUV,3,entertain
287,288,106689.0,408250.0,Finance,42,1,42,New Hampshire,SUV,3,consume
288,289,73598.0,446509.0,Services,50,7,12,Maine,SUV,5,entertain
289,290,144045.0,559091.0,Tech,47,4,11,New Hampshire,,5,entertain
290,291,129632.0,552408.0,Finance,48,4,14,Maine,SUV,5,consume
291,292,127384.0,460657.0,Tech,47,3,15,Maine,LuxurySedan,4,consume
292,293,81414.0,425657.0,Education,46,7,17,Maine,Sedan,6,entertain
293,294,85633.0,436036.0,Govt,45,4,22,Maine,Sedan,3,consume
294,295,115598.0,567673.0,Manufacturing,51,5,16,New Hampshire,SUV,1,consume
295,296,90631.0,345656.0,Education,49,4,12,New Hampshire,SUV,5,entertain
296,297,136365.0,462804.0,Tech,49,6,8,Quebec,SUV,4,entertain
297,298,88960.0,446904.0,Tech,44,6,12,Vermont,SUV,6,entertain
298,299,81353.0,407057.0,Services,36,4,8,Maine,Sedan,3,entertain
299,300,62122.0,359218.0,Tech,51,6,11,Quebec,SUV,2,entertain
300,301,81823.0,536503.0,Govt,52,6,15,Vermont,Compact/Hybrid,5,consume
301,302,120354.0,483317.0,Finance,43,5,5,Rhode Island,Sedan,6,consume
302,303,55879.0,427445.0,Govt,49,2,8,Maine,,3,entertain
303,304,44309.0,411400.0,Services,50,4,18,Maine,LuxurySedan,4,entertain
304,305,134916.0,488979.0,Tech,49,3,12,Maine,LuxurySedan,2,consume
305,306,50252.0,348401.0,Education,49,4,12,Maine,Sedan,6,entertain
306,307,77983.0,468564.0,Services,46,4,15,Maine,Pickup,5,entertain
307,308,63584.0,486497.0,Govt,37,5,14,Rhode Island,SUV,5,consume
308,309,94959.0,483145.0,Services,43,4,13,Vermont,LuxurySedan,2,consume
309,310,53526.0,461342.0,Govt,47,3,7,Connecticut,LuxurySedan,2,entertain
310,311,88331.0,391537.0,Tech,44,5,13,New York,LuxurySedan,3,entertain
311,312,84290.0,485154.0,Finance,45,8,9,New Hampshire,SUV,2,entertain
312,313,138579.0,527416.0,Services,38,6,11,Maine,SUV,3,entertain
313,314,78227.0,438865.0,Govt,43,1,43,Rhode Island,LuxurySedan,1,consume
314,315,88060.0,325192.0,Tech,45,2,9,Rhode Island,SUV,3,entertain
315,316,106654.0,456694.0,Tech,47,4,12,Ontario,LuxurySedan,4,entertain
316,317,58229.0,439035.0,Govt,47,4,15,Maine,Sedan,3,consume
317,318,90514.0,448963.0,Govt,47,3,17,US_Other,LuxurySedan,6,consume
318,319,107521.0,412159.0,Govt,43,6,10,Rhode Island,Pickup,5,entertain
319,320,122733.0,523210.0,Education,53,4,13,Maine,,4,entertain
320,321,97008.0,597241.0,Govt,42,5,16,Maine,SUV,1,entertain
321,322,125215.0,526501.0,Finance,47,4,14,Maine,SUV,5,consume
322,323,106871.0,455628.0,Finance,48,5,7,Maine,,3,consume
323,324,84636.0,468755.0,Govt,50,6,14,Maine,,5,entertain
324,325,48831.0,354465.0,Education,48,4,12,Ontario,Compact/Hybrid,5,entertain
325,326,76220.0,402746.0,Services,44,4,18,Maine,SUV,4,entertain
326,327,82080.0,463571.0,Govt,47,4,11,New Hampshire,LuxurySedan,7,consume
327,328,80777.0,516035.0,Manufacturing,46,7,9,Maine,LuxurySedan,5,entertain
328,329,105438.0,561956.0,Tech,40,5,11,Maine,LuxurySedan,2,entertain
329,330,104104.0,428459.0,Education,46,6,8,US_Other,Sedan,6,entertain
330,331,65777.0,332404.0,Other,41,5,14,US_Other,Compact/Hybrid,5,consume
331,332,96339.0,451200.0,Services,51,3,16,New Hampshire,Sedan,7,entertain
332,333,119365.0,484232.0,Tech,47,5,18,Maine,SUV,4,consume
333,334,146959.0,444355.0,Finance,47,4,20,Vermont,Sedan,5,consume
334,335,98094.0,543246.0,Services,46,4,13,Maine,SUV,5,entertain
335,336,104068.0,466803.0,Finance,40,5,9,Maine,Sedan,3,entertain
336,337,84179.0,422928.0,Tech,40,6,11,New York,SUV,4,entertain
337,338,115475.0,494055.0,Finance,52,4,11,Maine,Pickup,2,entertain
338,339,100021.0,544467.0,Finance,39,4,12,Ontario,LuxurySedan,4,entertain
339,340,128619.0,609975.0,Tech,44,4,12,Maine,LuxurySedan,4,entertain
340,341,143731.0,543059.0,Tech,43,6,10,Ontario,Compact/Hybrid,4,consume
341,342,37900.0,370764.0,Govt,47,3,12,New York,SUV,1,entertain
342,343,79385.0,316061.0,Finance,50,4,14,Vermont,SUV,6,entertain
343,344,107777.0,438501.0,Education,50,6,14,US_Other,SUV,2,entertain
344,345,97730.0,487785.0,Tech,44,3,21,Ontario,Sedan,6,consume
345,346,134755.0,571029.0,Finance,47,5,17,Maine,Compact/Hybrid,5,consume
346,347,130290.0,544861.0,Finance,56,6,14,Vermont,SUV,4,consume
